"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.soundsmag.org/51.159.70.213","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFdDCCBFygAwIBAgISA3C1jGzLLzROhphs/GMbWzI8MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjQwNjExMDMzNjMzWhcNMjQwOTA5MDMzNjMyWjAcMRowGAYDVQQDExF3d3cuc291bmRzbWFnLm9yZzCCAaIwDQYJKoZIhvcNAQEBBQADggGPADCCAYoCggGBALaYaMPOVnD+qwXekwDJjoV1eLXBB6rijeOcIshURIxY1tSHBXuFwD65217IX2R4VQThT5sjS6FJe7DM4vrXN2Pw0sPYD+kcUQPAQkYlpvSCCZDHs5IuXfBQwx1isgB/Tbx7Xl2whLeLUUbu+H7YAPNLPX/fqIMx0b9ch+a+7jMVI+T5agXb5BKnVEMdJMfnliSBS0AFkckURF5x+fBgiG0BWAgCirRFqaQEXQRzlnEsVHbw04r7532xycQCrQ0Y4mYSnRoTunhkvFZNScjtfK5YHfeK5jsClZInsj+eLFpGFveGWf2Ix7A5rZCN51iJS0SM9NMLz4XXJmpX38/RQCifTiXbCannlMCpds37tdkdI8Lbt840aTH0pCWJwVCaGuZaAf7URJ+VcRZy8KHWYA8PqUtdChiSxfWjsZ0ZbN5Eyzmkjq3SvAjFzxbF9jP0DaLGEYhbrVocfxi2CJ0Xdnuxk21zfN4pceJzQlP4aRjUupEp58pjxffp0c7DbY/R+QIDAQABo4ICFzCCAhMwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTQeUSsS56ZCe1d2Z0Qo+UhLZ0YezAfBgNVHSMEGDAWgBTFz0ak6vTDwHpslcQtsF6SLybjuTBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTEuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTEuaS5sZW5jci5vcmcvMBwGA1UdEQQVMBOCEXd3dy5zb3VuZHNtYWcub3JnMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBgYKKwYBBAHWeQIEAgSB9wSB9ADyAHcAPxdLT9ciR1iUHWUchL4NEu2QN38fhWrrwb8ohez4ZG4AAAGQBZVgCwAABAMASDBGAiEA2LtREYoJTmf5JulFSSV5OYbML0+WhQroBD2wUfNAYIACIQCckIUDekXmc94Q802/Xup1cQGiu37Z2czzmd+Hb+dWawB3ABmYEHEJ8NZSLjCA0p4/ZLuDbijM+Q9Sju7fzko/FrTKAAABkAWVZ+AAAAQDAEgwRgIhAIHHly0cUa/O6fdPrWUuoE4KGhh5nPh2y0nMpTmEpFOGAiEAsF4R+ZDHkxfvsjAuIumHW5hzCvradz1xpAuzGLH1gpwwDQYJKoZIhvcNAQELBQADggEBAFUqYLaXcc81Q9L8NbYXbXqeny5DQFaA43vbb5pUHwkOyCI8tsNfWql/WUupGrhckU01tQLg0FwSi8iN3VLGXs8s1hpAISMBECr2idj+T6UDmiBL0k917HVM6Ox0uwJFSooITFegcIOXPNMH46Wl8oeJ4Tl3h4g+t6KcEJ4px6NFM0HSpVhMcW7Sn0j8DJaGFpCOYYyNtx9KupoPQEfrCY2SQOjOzwsFI27fVgekK9PRtmpb6qQf4vTUyVkefSD/G/xBS++TY7fvNCyhoWK7zO20DVm7yXKbtI2MBj54RMc3+q0Br2rfdqL4pXodiw+/LOUMMXChE+Nx1TeGYBjxD9c=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.soundsmag.org/51.159.70.213","443","OK","www.soundsmag.org","",""
"cert_commonName_wo_SNI","www.soundsmag.org/51.159.70.213","443","INFO","yunohost.org","",""
"cert_subjectAltName","www.soundsmag.org/51.159.70.213","443","INFO","www.soundsmag.org","",""
"cert_trust","www.soundsmag.org/51.159.70.213","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.soundsmag.org/51.159.70.213","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.soundsmag.org/51.159.70.213","443","INFO","no","",""
"cert_expirationStatus","www.soundsmag.org/51.159.70.213","443","OK","74 >= 30 days","",""
"cert_notBefore","www.soundsmag.org/51.159.70.213","443","INFO","2024-06-11 03:36","",""
"cert_notAfter","www.soundsmag.org/51.159.70.213","443","OK","2024-09-09 03:36","",""
