"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_fingerprintSHA256","arthur.lutz.im/82.65.202.15","443","INFO","760019604E716C72FAB8E43AA8DB6D848A3A543864D98C54AE2B4F975158F57C","",""
"cert","arthur.lutz.im/82.65.202.15","443","INFO","-----BEGIN CERTIFICATE----- MIIFozCCBIugAwIBAgISA3g7ogg0ekfzwl/ac/dHw+KLMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTExMzAwNDI4NTdaFw0yMjAyMjgwNDI4NTZaMBkxFzAVBgNVBAMT DmFydGh1ci5sdXR6LmltMIIBojANBgkqhkiG9w0BAQEFAAOCAY8AMIIBigKCAYEA 3SEeqzlt9au7uospyv2mW/Kb5f6gE5IhjZkW6Wf4dHVCNg/B1VO3UO8hIvbpkCIE CnONMAta8gVxaTCE7Ez/qkRRhNDDuD+AtKah+GC7m+0f0I++agDuu5f5ajxQCr3V HP4LfInQRNiVB2ASahfRzZ3BSjcWhznQ++U0saRg+4p/zKDRhZFqojJ8t5psyYva xbsnjXhLDmuWD84JyMK1+NCScnb6jz4yvEsANaIS1zdBUlPMVF3ikOJE0X7pOCVL DgHoBG1IMKJKys1XcS/0M9sybjTP/5cWfVaZPt9IDiGoZGKKQ9885hqgnwibCi12 R3pS8H/jLH10nhbAYtlW63X7tJoPW+XWQIZWdrZMgVSyTKwezpq6B+d6B+a66cN2 KtuiT3uWvb+4Mv2db+/oevZZNftTbJL2dkS5umJnsluj8hCUBrcxzznXWDhyb9m8 NY4RB7URcCoSCpPn8H2Uaiqnvq/dzjNEn3vU0ntWa7sdMp0F3qpobK1na7hdO2O/ AgMBAAGjggJKMIICRjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUH AwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFMNsxNR7X07rk4W6 pqtc2NAymnNBMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsG AQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIG CCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMBkGA1UdEQQSMBCCDmFy dGh1ci5sdXR6LmltMEwGA1UdIARFMEMwCAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEB MCgwJgYIKwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0c2VuY3J5cHQub3JnMIIBBQYK KwYBBAHWeQIEAgSB9gSB8wDxAHcAQcjKsd8iRkoQxqE6CUKHXk4xixsD6+tLx2jw kGKWBvYAAAF9b1FGeQAABAMASDBGAiEA3nR+20E3xNi5aTMciSQxerO+Saqv4ye3 2WK9/dU7V5UCIQD3MY7hq9jbjQslVZNgSA0RR4HoaLdnKtGwTiSKdUbbwAB2AEal Vet1+pEgMLWiiWn0830RLEF0vv1JuIWr8vxw/m1HAAABfW9RRpsAAAQDAEcwRQIh AMlVN1R630fkeujWFRQ5GZfnOFFLLin/8XpprIYpIO5OAiBwRAgbOZUlT8GVVORe SGz4JcbU5KfAtcUfQLGsmiKLKTANBgkqhkiG9w0BAQsFAAOCAQEAG3A3+ogYZIEc DcpnjgoaR3s2apE259FVI5xS6MnaQ5cwzI74rEUaeXoFjubAwq/2xt1GA2NX9uhq 8uAJmK/FNw1I1UX8NhVBizF1a/VK1WCOTQqNHMLysDFWK60dnnF+dXL6+byy4o1N wBtG9fupkmbd2JDLFAe0t8QTQBLBJIPG9u6wa3YadYqjJik9s0qzuYCbbOE/1BWT 97TSDzypsRPyD+BjytYPKwutq5pcykeCmroPJzaVwKMEQ9/W+VX571tCzsYx89Br 3lUZx/dn0DRl8GxQxu3MNjMxrmI8WgVPMCkGwKhMhVtk3HWgDLezJYTR5YYOWUyT Euoh2DRuuw== -----END CERTIFICATE-----","",""
"cert_commonName","arthur.lutz.im/82.65.202.15","443","OK","arthur.lutz.im","",""
"cert_commonName_wo_SNI","arthur.lutz.im/82.65.202.15","443","INFO","yunohost.org","",""
"cert_subjectAltName","arthur.lutz.im/82.65.202.15","443","INFO","arthur.lutz.im","",""
"cert_trust","arthur.lutz.im/82.65.202.15","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","arthur.lutz.im/82.65.202.15","443","OK","passed.","",""
"cert_certificatePolicies_EV","arthur.lutz.im/82.65.202.15","443","INFO","no","",""
"cert_expirationStatus","arthur.lutz.im/82.65.202.15","443","OK","58 >= 30 days","",""
"cert_notBefore","arthur.lutz.im/82.65.202.15","443","INFO","2021-11-30 04:28","",""
