"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_fingerprintSHA1","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","F359BFEFB186660F0C14517BC2FF91D989A006ED","",""
"cert_fingerprintSHA256","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","F89D50AB8F983397159EFEE2DEB072D5F087649FEDF6B8925C117BF516827211","",""
"cert","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","-----BEGIN CERTIFICATE----- MIIFxTCCBK2gAwIBAgISBGflBmqTzQbMcnqIRBytTUEVMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTA3MjYwMzI1NDZaFw0yMTEwMjQwMzI1NDRaMCsxKTAnBgNVBAMT IHd3dy5jYXJ0b2dyYXBoaWVwdWJsaWNpdGFpcmUub3JnMIIBojANBgkqhkiG9w0B AQEFAAOCAY8AMIIBigKCAYEAwvLUFxSnKjpf1VCyCJ+eboN/buTDOsJmKW3HJ8P+ qjXJBQFL7SCrUr0QbfNf3U+fmbrauW49UaNm77h3nWgJ3yJb0igp111aVvTOEHX4 1fsfn1CT3gLxda5f5x9SFvWpJuc9OfgHjV83JZTGNF3c9I135VX0Xr2gK8Hc/fWr G/vOKklotKXc8gqK6+GdSPs7/AYMcRACvgNHc8nnVcC4OwobtTflKTdL8ImvrfXU mRwOh+llDmGtG1Uke7/3Wc7ts66lrVXN+Ub2IHK6hww/nK7XuOU/vbH9uvyNNI+v nhMF5aGIEjRCWLO9UAbtq0nIU1azrZKHWCmhevdlwzqSoDkuQnNR8uv0DbByV/Xx eEKnjM19tHjyxZbMEBr0DWNNnlUbk4N8ttW6yRRs1e04nIjBkOu9dnZemW+AK+F5 Ftzo1fM9qGm3q055TOivvvEAjWGj6Io77B2K/iTNqV0Tp9Ls8+kbU3Iw4o6c5Rtx v2poZjW4ijw3DGJXaESIgIUzAgMBAAGjggJaMIICVjAOBgNVHQ8BAf8EBAMCBaAw HQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYD VR0OBBYEFHcBUzKXJ6JO5IGOTHHoWgWwGJm5MB8GA1UdIwQYMBaAFBQusxe3WFbL rlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDov L3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5v cmcvMCsGA1UdEQQkMCKCIHd3dy5jYXJ0b2dyYXBoaWVwdWJsaWNpdGFpcmUub3Jn MEwGA1UdIARFMEMwCAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEBMCgwJgYIKwYBBQUH AgEWGmh0dHA6Ly9jcHMubGV0c2VuY3J5cHQub3JnMIIBAwYKKwYBBAHWeQIEAgSB 9ASB8QDvAHUAXNxDkv7mq0VEsV6a1FbmEDf71fpH3KFzlLJe5vbHDsoAAAF64Q/N JgAABAMARjBEAiAEWYqUOcXyXA0TjTSO6gkHUJKRladlmynLJbiXFmPdPAIgQQh+ y2z/zc5UpkW0uw1jP+PqTiJyeJtWyzuzSzjtr0kAdgD2XJQv0XcwIhRUGAgwlFaO 400TGTO/3wwvIAvMTvFk4wAAAXrhD80YAAAEAwBHMEUCIQCKBniFWrZYA6v1B3Pi XVPXJmZMM1Uyp9FAP+sEJolqzwIgeLSb+RDdA4SO/StNEISAwZaqPRO2BD1sQLWn jfpMYvIwDQYJKoZIhvcNAQELBQADggEBAE4tFFCgcrf/EJviGSQxydE5LeM6ReBQ hDN0/gdN2raE3DZnt/6CeTMizgPLheIlS9AX2zjREte25YMIAmteNmS6qJsgXMyz HW/NKxZ31+3rSY2440vJCTUZjDfNwH4PaU05y03jukABuinq1wLE05YskqkIKPph Tc1j9q68OjCzixmnuLghfDae1VqeRlPoT8Djt/POLJ6auMx8zNiFv4JiXgTxec3g v+4aAwBZUr2CfaRtUcMDpjDsUMb0mEHK7nkbxQemeaJd+93gUqQTeJmHGN1TDQK9 dseNeILu5ZXsxdXNmjyhvOZJ/eDpRyKbCgdngf0BZGpzOqrRyP6Sw7M= -----END CERTIFICATE-----","",""
"cert_commonName","www.cartographiepublicitaire.org/51.159.70.213","443","OK","www.cartographiepublicitaire.org","",""
"cert_commonName_wo_SNI","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","yunohost.org","",""
"cert_subjectAltName","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","www.cartographiepublicitaire.org","",""
"cert_trust","www.cartographiepublicitaire.org/51.159.70.213","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.cartographiepublicitaire.org/51.159.70.213","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","no","",""
"cert_expirationStatus","www.cartographiepublicitaire.org/51.159.70.213","443","OK","76 >= 30 days","",""
"cert_notBefore","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","2021-07-26 03:25","",""
"cert_notAfter","www.cartographiepublicitaire.org/51.159.70.213","443","OK","2021-10-24 03:25","",""
"cert_extlifeSpan","www.cartographiepublicitaire.org/51.159.70.213","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","not present","",""
"cert_crlDistributionPoints","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","--","",""
"cert_ocspURL","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","www.cartographiepublicitaire.org/51.159.70.213","443","OK","offered","",""
"cert_ocspRevoked","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not revoked","",""
"cert_mustStapleExtension","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","--","",""
"DNS_CAArecord","www.cartographiepublicitaire.org/51.159.70.213","443","LOW","--","",""
"certificate_transparency","www.cartographiepublicitaire.org/51.159.70.213","443","OK","yes (certificate extension)","",""
"certs_countServer","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","3","",""
"certs_list_ordering_problem","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","no","",""
"cert_caIssuers","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","-----BEGIN CERTIFICATE----- MIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAw TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAw WhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3Mg RW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEK AoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cP R5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdx sxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8Zutm NHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxg Z3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG /kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMC AYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYB Af8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaA FHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcw AoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRw Oi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQB gt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6W PTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wl ikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQz CkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BIm lJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4 avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2 yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1O yK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90Ids hCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+ HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6Zv MldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqX nLRbwHOoq7hHwg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","www.cartographiepublicitaire.org/51.159.70.213","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","www.cartographiepublicitaire.org/51.159.70.213","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","R3 <-- ISRG Root X1","",""
"intermediate_cert <#2>","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","-----BEGIN CERTIFICATE----- MIIFYDCCBEigAwIBAgIQQAF3ITfU6UK47naqPGQKtzANBgkqhkiG9w0BAQsFADA/ MSQwIgYDVQQKExtEaWdpdGFsIFNpZ25hdHVyZSBUcnVzdCBDby4xFzAVBgNVBAMT DkRTVCBSb290IENBIFgzMB4XDTIxMDEyMDE5MTQwM1oXDTI0MDkzMDE4MTQwM1ow TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwggIiMA0GCSqGSIb3DQEB AQUAA4ICDwAwggIKAoICAQCt6CRz9BQ385ueK1coHIe+3LffOJCMbjzmV6B493XC ov71am72AE8o295ohmxEk7axY/0UEmu/H9LqMZshftEzPLpI9d1537O4/xLxIZpL wYqGcWlKZmZsj348cL+tKSIG8+TA5oCu4kuPt5l+lAOf00eXfJlII1PoOK5PCm+D LtFJV4yAdLbaL9A4jXsDcCEbdfIwPPqPrt3aY6vrFk/CjhFLfs8L6P+1dy70sntK 4EwSJQxwjQMpoOFTJOwT2e4ZvxCzSow/iaNhUd6shweU9GNx7C7ib1uYgeGJXDR5 bHbvO5BieebbpJovJsXQEOEO3tkQjhb7t/eo98flAgeYjzYIlefiN5YNNnWe+w5y sR2bvAP5SQXYgd0FtCrWQemsAXaVCg/Y39W9Eh81LygXbNKYwagJZHduRze6zqxZ Xmidf3LWicUGQSk+WT7dJvUkyRGnWqNMQB9GoZm1pzpRboY7nn1ypxIFeFntPlF4 FQsDj43QLwWyPntKHEtzBRL8xurgUBN8Q5N0s8p0544fAQjQMNRbcTa0B7rBMDBc SLeCO5imfWCKoqMpgsy6vYMEG6KDA0Gh1gXxG8K28Kh8hjtGqEgqiNx2mna/H2ql PRmP6zjzZN7IKw0KKP/32+IVQtQi0Cdd4Xn+GOdwiK1O5tmLOsbdJ1Fu/7xk9TND TwIDAQABo4IBRjCCAUIwDwYDVR0TAQH/BAUwAwEB/zAOBgNVHQ8BAf8EBAMCAQYw SwYIKwYBBQUHAQEEPzA9MDsGCCsGAQUFBzAChi9odHRwOi8vYXBwcy5pZGVudHJ1 c3QuY29tL3Jvb3RzL2RzdHJvb3RjYXgzLnA3YzAfBgNVHSMEGDAWgBTEp7Gkeyxx +tvhS5B1/8QVYIWJEDBUBgNVHSAETTBLMAgGBmeBDAECATA/BgsrBgEEAYLfEwEB ATAwMC4GCCsGAQUFBwIBFiJodHRwOi8vY3BzLnJvb3QteDEubGV0c2VuY3J5cHQu b3JnMDwGA1UdHwQ1MDMwMaAvoC2GK2h0dHA6Ly9jcmwuaWRlbnRydXN0LmNvbS9E U1RST09UQ0FYM0NSTC5jcmwwHQYDVR0OBBYEFHm0WeZ7tuXkAXOACIjIGlj26Ztu MA0GCSqGSIb3DQEBCwUAA4IBAQAKcwBslm7/DlLQrt2M51oGrS+o44+/yQoDFVDC 5WxCu2+b9LRPwkSICHXM6webFGJueN7sJ7o5XPWioW5WlHAQU7G75K/QosMrAdSW 9MUgNTP52GE24HGNtLi1qoJFlcDyqSMo59ahy2cI2qBDLKobkx/J3vWraV0T9VuG WCLKTVXkcGdtwlfFRjlBz4pYg1htmf5X6DYO8A4jqv2Il9DjXA6USbW1FzXSLr9O he8Y4IWS6wY7bCkjCWDcRQJMEhg76fsO3txE+FiYruq9RUWhiF1myv4Q6W+CyBFC Dfvp7OOGAN6dEOM4+qR9sdjoSYKEBpsr6GtPAQw4dy753ec5 -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","6D99FB265EB1C5B3744765FCBC648F3CD8E1BFFAFDC4C2F99B9D47CF7FF1C24F","",""
